"","ringnr","X","ID","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal","tarsus_length","body_mass","lBM","lTL","lGT"
"974","8M72018",2309,2309,"m",23,2,"Træna",2010,2010,0,2,2,1,1,1,2,1,"23 2010","8M72018",20.19,32.55,3.48277736865458,3.00518743232475,0
"975","8M72019",2310,2310,"f",23,2,"Træna",2010,2010,0,3,3,1,1,1,3,1,"23 2010","8M72019",19.8,30.9,3.4307561839037,2.98568193770049,0
"980","8M72120",2330,2330,"f",24,2,"Selvær",2010,2010,0,1,1,1,1,1,1,1,"24 2010","8M72120",19.88,31.2,3.44041809481544,2.98971420122843,0
"981","8M72136",2335,2335,"f",23,2,"Træna",2010,2011,0,3,3,1,1,2,1.5,1,"23 2010","8M72136",19.96,29.4,3.38099467434464,2.99373027088332,0
"983","8M72176",2340,2340,"f",23,2,"Træna",2010,2011,0,1,1,1,1,1,1,1,"23 2010","8M72176",19.77,29,3.36729582998647,2.98416563718253,0
"984","8M72179",2342,2342,"m",23,2,"Træna",2010,2011,0,1,1,1,1,1,1,1,"23 2010","8M72179",18.225,29.9,3.39785848039664,2.90279427789472,0
"985","8M72186",2345,2345,"f",24,2,"Selvær",2010,2012,0,1,1,1,1,2,0.5,1,"24 2010","8M72186",19.35,30.5,3.41772668361337,2.96269241947579,0
"986","8M72224",2349,2349,"f",24,2,"Selvær",2010,2011,0,1,1,1,1,1,1,1,"24 2010","8M72224",19.24,32.5,3.48124008933569,2.95699144523756,0
"987","8M72235",2352,2352,"m",23,2,"Træna",2010,2011,0,1,1,1,1,1,1,1,"23 2010","8M72235",18.07,38.8,3.65842024662923,2.89425310460414,0
"991","8M72323",2378,2378,"m",24,2,"Selvær",2010,2011,0,1,1,1,1,2,0.5,1,"24 2010","8M72323",19.33,30.8,3.42751468997953,2.96165829322024,0
"992","8M72325",2380,2380,"f",24,2,"Selvær",2010,2012,0,1,1,1,1,2,0.5,1,"24 2010","8M72325",19.38,27.6,3.3178157727231,2.96424160646262,0
