"","ID","ringnr","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal"
"1226",1226,"8981272","m",27,1,"Hestmannøy",2005,2011,0,9,1.70231789300864,0.206687921035475,2,6,1.5,4.66666666666667,"27 2005","8981272"
"1227",1227,"8981273","m",27,1,"Hestmannøy",2005,2006,0,1,1,1,1,1,1,1,"27 2005","8981273"
"1228",1228,"8981274","f",27,1,"Hestmannøy",2005,2011,0,3,1.51287639686409,0.5,2,6,0.5,3,"27 2005","8981274"
"1229",1229,"8981277","f",27,1,"Hestmannøy",2005,2008,0,1,1,1,1,3,0.333333333333333,1,"27 2005","8981277"
"1231",1231,"8981279","m",27,1,"Hestmannøy",2005,2007,0,3,2,0.707106781186547,1,2,1.5,1.66666666666667,"27 2005","8981279"
"1232",1232,"8981280","f",27,1,"Hestmannøy",2005,2009,0,7,2.67169988165716,0.546897384392564,1,4,1.75,2.71428571428571,"27 2005","8981280"
"1233",1233,"8981281","f",27,1,"Hestmannøy",2005,2006,0,1,1,1,1,1,1,1,"27 2005","8981281"
"1235",1235,"8981284","f",27,1,"Hestmannøy",2005,2006,0,1,1,1,1,1,1,1,"27 2005","8981284"
"1238",1238,"8981289","f",27,1,"Hestmannøy",2005,2007,0,1,1,0.707106781186547,2,2,0.5,2,"27 2005","8981289"
"1246",1246,"8981325","m",28,1,"Indre-Kvarøy",2005,2006,0,2,2,1,1,1,2,1,"28 2005","8981325"
"1249",1249,"8981545","f",27,1,"Hestmannøy",2005,2009,0,3,1.41421356237309,0.408248290463863,2,4,0.75,3.33333333333333,"27 2005","8981545"
"1256",1256,"8981608","m",38,1,"Aldra",2005,2009,0,1,1,0.5,4,5,0.2,4,"38 2005","8981608"
"1260",1260,"8981657","m",23,2,"Træna",2005,2006,0,1,1,1,1,1,1,1,"23 2005","8981657"
"1266",1266,"8981707","f",27,1,"Hestmannøy",2005,2007,0,1,1,1,1,2,0.5,1,"27 2005","8981707"
"1267",1267,"8981708","m",27,1,"Hestmannøy",2005,2007,0,1,1,0.707106781186547,2,2,0.5,2,"27 2005","8981708"
"1268",1268,"8981711","f",20,1,"Nesøy",2005,2006,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"20 2005","8981711"
"1272",1272,"8981722","m",28,1,"Indre-Kvarøy",2005,2005,0,2,2,1,1,1,2,1,"28 2005","8981722"
"1273",1273,"8981723","m",27,1,"Hestmannøy",2005,2005,0,2,2,1,1,1,2,1,"27 2005","8981723"
"1279",1279,"8981754","f",22,2,"Myken",2005,2008,0,2,1.25992104989487,0.442493334024442,3,3,0.666666666666667,3,"22 2005","8981754"
"1280",1280,"8981773","m",26,1,"Gjerøy",2005,2010,0,2,1.22074408460576,0.431050347463247,3,5,0.4,3.5,"26 2005","8981773"
"1284",1284,"8981792","m",28,1,"Indre-Kvarøy",2005,2006,0,1,1,1,1,1,1,1,"28 2005","8981792"
"1285",1285,"8981801","f",27,1,"Hestmannøy",2005,2005,0,2,2,1,1,1,2,1,"27 2005","8981801"
"1286",1286,"8981802","f",27,1,"Hestmannøy",2005,2005,0,1,1,1,1,1,1,1,"27 2005","8981802"
"1287",1287,"8981803","f",28,1,"Indre-Kvarøy",2005,2007,0,3,2.20556943040059,0.895205204185134,1,3,1,1.66666666666667,"28 2005","8981803"
"1289",1289,"8981805","m",26,1,"Gjerøy",2005,2006,0,3,3,1,1,1,3,1,"26 2005","8981805"
"1290",1290,"8981806","m",27,1,"Hestmannøy",2005,2008,0,2,1.22074408460576,0.431050347463247,3,4,0.5,3.5,"27 2005","8981806"
"1292",1292,"8981820","f",27,1,"Hestmannøy",2005,2008,0,2,1.25992104989487,0.442493334024442,3,3,0.666666666666667,3,"27 2005","8981820"
"1294",1294,"8981822","m",27,1,"Hestmannøy",2005,2008,0,4,1.79430965941227,0.501706671168966,1,4,1,2.75,"27 2005","8981822"
"1295",1295,"8981823","m",27,1,"Hestmannøy",2005,2005,0,1,1,1,1,1,1,1,"27 2005","8981823"
"1296",1296,"8981824","f",27,1,"Hestmannøy",2005,2006,0,1,1,1,1,2,0.5,1,"27 2005","8981824"
"1298",1298,"8981850","m",28,1,"Indre-Kvarøy",2005,2007,0,6,2.11634329862421,0.357417890866796,1,3,2,2.66666666666667,"28 2005","8981850"
"1300",1300,"8981857","f",27,1,"Hestmannøy",2005,2005,0,1,1,1,1,1,1,1,"27 2005","8981857"
"1302",1302,"8981861","f",26,1,"Gjerøy",2005,2008,0,5,2.26953084208114,0.543262365883259,1,3,1.66666666666667,2.2,"26 2005","8981861"
"1303",1303,"8981863","f",24,2,"Selvær",2005,2007,0,1,1,1,1,2,0.5,1,"24 2005","8981863"
"1304",1304,"8981864","m",23,2,"Træna",2005,2007,0,4,4,1,1,2,2,1,"23 2005","8981864"
"1305",1305,"8981873","f",23,2,"Træna",2005,2006,0,1,1,1,1,1,1,1,"23 2005","8981873"
"1310",1310,"8981923","f",23,2,"Træna",2005,2005,0,1,1,1,1,1,1,1,"23 2005","8981923"
"1311",1311,"8981927","f",23,2,"Træna",2005,2007,0,5,3.38297576790624,0.900189394570716,1,3,1.66666666666667,1.6,"23 2005","8981927"
"1312",1312,"8981929","m",24,2,"Selvær",2005,2012,0,7,1.66859902716276,0.247335251139061,3,7,1,4.28571428571429,"24 2005","8981929"
"1314",1314,"8981942","f",23,2,"Træna",2005,2007,0,1,1,0.577350269189626,3,3,0.333333333333333,3,"23 2005","8981942"
"1316",1316,"8981945","f",23,2,"Træna",2005,2009,0,2,1.2365057033915,0.506984229210033,2,5,0.4,3.5,"23 2005","8981945"
"1317",1317,"8981955","f",24,2,"Selvær",2005,2007,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"24 2005","8981955"
"1318",1318,"8981962","f",23,2,"Træna",2005,2007,0,1,1,0.707106781186547,2,2,0.5,2,"23 2005","8981962"
"1319",1319,"8981965","f",23,2,"Træna",2005,2005,0,3,3,1,1,1,3,1,"23 2005","8981965"
"1320",1320,"8981970","m",23,2,"Træna",2005,2007,0,2,2,1,1,2,1,1,"23 2005","8981970"
"1321",1321,"8981971","f",23,2,"Træna",2005,2005,0,1,1,1,1,1,1,1,"23 2005","8981971"
"1324",1324,"8L19505","f",24,2,"Selvær",2007,2007,0,1,1,1,1,1,1,1,"24 2007","8L19505"
"1331",1331,"8L19572","m",24,2,"Selvær",2007,2011,0,1,1,0.577350269189626,3,4,0.25,3,"24 2007","8L19572"
"1332",1332,"8L19595","m",24,2,"Selvær",2007,2012,0,3,1.39533699446707,0.371358429842831,3,5,0.6,3.33333333333333,"24 2007","8L19595"
"1335",1335,"8L19633","f",23,2,"Træna",2007,2011,0,12,3.11108010231941,0.339364512551635,1,4,3,2.75,"23 2007","8L19633"
"1339",1339,"8L19661","m",23,2,"Træna",2007,2010,0,4,1.5874010519682,0.318312435592218,3,3,1.33333333333333,3,"23 2007","8L19661"
"1341",1341,"8L19688","m",24,2,"Selvær",2007,2011,0,5,1.66325193877147,0.291347212340617,3,4,1.25,3.2,"24 2007","8L19688"
"1343",1343,"8L19693","f",23,2,"Træna",2007,2011,0,3,2.10691934037622,0.881322775771768,1,4,0.75,2,"23 2007","8L19693"
"1344",1344,"8L19722","f",28,1,"Indre-Kvarøy",2007,2008,0,1,1,1,1,1,1,1,"28 2007","8L19722"
"1346",1346,"8L19728","f",26,1,"Gjerøy",2007,2011,0,4,2.2774523904372,0.774042154319482,1,4,1,2.25,"26 2007","8L19728"
"1349",1349,"8L19813","m",27,1,"Hestmannøy",2007,2009,0,4,1.86370652781919,0.480175341668691,1,3,1.33333333333333,2.5,"27 2007","8L19813"
"1350",1350,"8L19825","f",26,1,"Gjerøy",2007,2008,0,3,2,0.707106781186547,1,2,1.5,1.66666666666667,"26 2007","8L19825"
"1351",1351,"8L19830","m",27,1,"Hestmannøy",2007,2008,0,1,1,1,1,1,1,1,"27 2007","8L19830"
"1352",1352,"8L19835","m",27,1,"Hestmannøy",2007,2012,0,4,1.39881378692487,0.29053528121412,3,5,0.8,4.25,"27 2007","8L19835"
"1353",1353,"8L19839","f",27,1,"Hestmannøy",2007,2008,0,2,2,1,1,1,2,1,"27 2007","8L19839"
"1354",1354,"8L19856","m",26,1,"Gjerøy",2007,2008,0,1,1,1,1,1,1,1,"26 2007","8L19856"
"1355",1355,"8L19858","m",38,1,"Aldra",2007,2009,0,1,1,0.707106781186547,2,2,0.5,2,"38 2007","8L19858"
"1356",1356,"8L19860","m",38,1,"Aldra",2007,2009,0,1,1,0.707106781186547,2,2,0.5,2,"38 2007","8L19860"
"1357",1357,"8L19862","m",28,1,"Indre-Kvarøy",2007,2010,0,3,1.31607401295249,0.302500166853028,4,4,0.75,4,"28 2007","8L19862"
"1358",1358,"8L19877","m",27,1,"Hestmannøy",2007,2010,0,2,1.32471795724475,0.548431757931806,2,3,0.666666666666667,2.5,"27 2007","8L19877"
"1363",1363,"8L19912","f",27,1,"Hestmannøy",2007,2010,0,5,2.3390571293176,0.635638039843111,1,4,1.25,2.6,"27 2007","8L19912"
"1365",1365,"8L19917","m",27,1,"Hestmannøy",2007,2007,0,2,2,1,1,1,2,1,"27 2007","8L19917"
"1366",1366,"8L19919","m",27,1,"Hestmannøy",2007,2007,0,1,1,1,1,1,1,1,"27 2007","8L19919"
"1367",1367,"8L19920","m",27,1,"Hestmannøy",2007,2010,0,1,1,1,1,4,0.25,1,"27 2007","8L19920"
"1369",1369,"8L19922","m",38,1,"Aldra",2007,2010,0,1,1,0.577350269189626,3,3,0.333333333333333,3,"38 2007","8L19922"
"1371",1371,"8L19930","f",38,1,"Aldra",2007,2009,0,1,1,1,1,2,0.5,1,"38 2007","8L19930"
"1372",1372,"8L19931","f",38,1,"Aldra",2007,2009,0,1,1,1,1,2,0.5,1,"38 2007","8L19931"
"1375",1375,"8L19934","m",27,1,"Hestmannøy",2007,2010,0,3,1.44224957030741,0.367437719731505,3,3,1,3,"27 2007","8L19934"
